Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
85	wheeler205	1647708519.154	   331.516	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '85'
82	wheeler155	1647708518.412	   332.348	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '82'
88	wheeler205	1647708522.707	   328.263	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '88'
92	wheeler203	1647708528.321	   324.782	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '92'
95	wheeler202	1647708529.372	   324.375	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '95'
89	wheeler260	1647708523.962	   330.663	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '89'
91	wheeler260	1647708525.846	   331.115	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '91'
90	wheeler204	1647708524.841	   332.613	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '90'
94	wheeler204	1647708529.357	   332.344	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '94'
96	wheeler186	1647708530.575	   331.421	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '96'
93	wheeler186	1647708528.473	   334.259	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '93'
97	wheeler154	1647708838.903	   328.201	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '97'
99	wheeler154	1647708848.409	   325.695	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '99'
104	wheeler205	1647708850.986	   325.217	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '104'
102	wheeler205	1647708850.687	   327.632	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '102'
98	wheeler203	1647708847.577	   330.879	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '98'
103	wheeler155	1647708850.777	   327.700	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '103'
105	wheeler203	1647708853.121	   327.626	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '105'
101	wheeler155	1647708849.898	   331.542	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '101'
100	wheeler202	1647708849.604	   332.398	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '100'
106	wheeler202	1647708853.763	   328.608	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '106'
108	wheeler260	1647708856.978	   329.495	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '108'
111	wheeler186	1647708862.014	   324.756	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '111'
107	wheeler260	1647708854.642	   333.302	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '107'
110	wheeler204	1647708861.719	   326.627	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '110'
109	wheeler204	1647708857.472	   332.464	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '109'
112	wheeler186	1647708862.752	   331.528	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '112'
113	wheeler154	1647709167.127	   328.256	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '113'
116	wheeler205	1647709178.338	   325.687	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '116'
115	wheeler205	1647709176.220	   328.375	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '115'
114	wheeler154	1647709174.123	   332.111	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '114'
118	wheeler155	1647709178.498	   330.193	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '118'
117	wheeler203	1647709178.478	   332.335	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '117'
119	wheeler203	1647709180.764	   330.526	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '119'
120	wheeler155	1647709181.458	   329.990	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '120'
122	wheeler202	1647709182.389	   329.639	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '122'
127	wheeler204	1647709189.953	   323.820	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '127'
121	wheeler202	1647709182.018	   331.898	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '121'
124	wheeler186	1647709186.789	   329.072	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '124'
126	wheeler204	1647709188.364	   329.947	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '126'
123	wheeler260	1647709186.490	   332.581	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '123'
125	wheeler260	1647709187.961	   331.681	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '125'
128	wheeler186	1647709194.298	   330.435	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '128'
129	wheeler154	1647709495.404	   329.921	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '129'
130	wheeler205	1647709504.044	   324.434	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '130'
132	wheeler154	1647709506.257	   327.352	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '132'
133	wheeler155	1647709508.707	   326.989	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '133'
131	wheeler205	1647709504.612	   333.275	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '131'
134	wheeler203	1647709510.832	   328.918	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '134'
135	wheeler203	1647709511.308	   328.761	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '135'
136	wheeler155	1647709511.466	   329.783	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '136'
137	wheeler202	1647709512.044	   332.648	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '137'
138	wheeler204	1647709513.791	   331.775	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '138'
139	wheeler202	1647709513.932	   332.098	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R 139
